sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
FLE20510,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE21910,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE21935,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE21940,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE21945,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE24015,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE24030,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE24035,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE24045,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE24060,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE24070,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE24075,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE36040,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
